,Unnamed: 0,img_pair,question,img1,img2,answer,survey,observer,is_redundant,img1_fname,img2_fname,answer_fname,network,dataset
144,144,s41-q1005-im151-im165-impicker,1005,151,165,151,41,6,True,001202-unet-chase.png,001202-iternet-chase.png,001202-unet-chase.png,unet,chase
145,145,s41-q997-im151-im213-impicker,997,151,213,151,41,6,False,001202-unet-chase.png,001202-eswanet-chase.png,001202-unet-chase.png,unet,chase
146,146,s41-q1000-im53-im223-impicker,1000,53,223,223,41,6,False,001202-saunet-chase.png,001202-vesselunet-chase.png,001202-vesselunet-chase.png,vesselunet,chase
147,147,s41-q974-im45-im223-impicker,974,45,223,45,41,6,False,001202-vgan-chase.png,001202-vesselunet-chase.png,001202-vgan-chase.png,vgan,chase
148,148,s41-q969-im53-im213-impicker,969,53,213,213,41,6,False,001202-saunet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
149,149,s41-q1004-im37-im53-impicker,1004,37,53,53,41,6,True,001202-iternet_uni-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
150,150,s41-q991-im151-im223-impicker,991,151,223,151,41,6,True,001202-unet-chase.png,001202-vesselunet-chase.png,001202-unet-chase.png,unet,chase
151,151,s41-q1002-im111-im165-impicker,1002,111,165,111,41,6,False,001202-laddernet-chase.png,001202-iternet-chase.png,001202-laddernet-chase.png,laddernet,chase
152,152,s41-q990-im53-im151-impicker,990,53,151,151,41,6,False,001202-saunet-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
153,153,s41-q994-im45-im165-impicker,994,45,165,45,41,6,False,001202-vgan-chase.png,001202-iternet-chase.png,001202-vgan-chase.png,vgan,chase
154,154,s41-q973-im53-im111-impicker,973,53,111,53,41,6,True,001202-saunet-chase.png,001202-laddernet-chase.png,001202-saunet-chase.png,saunet,chase
155,155,s41-q993-im111-im223-impicker,993,111,223,111,41,6,False,001202-laddernet-chase.png,001202-vesselunet-chase.png,001202-laddernet-chase.png,laddernet,chase
156,156,s41-q972-im45-im223-impicker,972,45,223,45,41,6,True,001202-vgan-chase.png,001202-vesselunet-chase.png,001202-vgan-chase.png,vgan,chase
157,157,s41-q984-im111-im213-impicker,984,111,213,111,41,6,True,001202-laddernet-chase.png,001202-eswanet-chase.png,001202-laddernet-chase.png,laddernet,chase
158,158,s41-q1007-im37-im165-impicker,1007,37,165,165,41,6,False,001202-iternet_uni-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
159,159,s41-q996-im111-im165-impicker,996,111,165,111,41,6,True,001202-laddernet-chase.png,001202-iternet-chase.png,001202-laddernet-chase.png,laddernet,chase
160,160,s41-q987-im53-im165-impicker,987,53,165,53,41,6,False,001202-saunet-chase.png,001202-iternet-chase.png,001202-saunet-chase.png,saunet,chase
161,161,s41-q980-im53-im213-impicker,980,53,213,53,41,6,True,001202-saunet-chase.png,001202-eswanet-chase.png,001202-saunet-chase.png,saunet,chase
162,162,s41-q976-im53-im223-impicker,976,53,223,53,41,6,True,001202-saunet-chase.png,001202-vesselunet-chase.png,001202-saunet-chase.png,saunet,chase
163,163,s41-q992-im37-im213-impicker,992,37,213,213,41,6,False,001202-iternet_uni-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
164,164,s41-q1006-im37-im213-impicker,1006,37,213,213,41,6,True,001202-iternet_uni-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
165,165,s41-q975-im37-im165-impicker,975,37,165,165,41,6,True,001202-iternet_uni-chase.png,001202-iternet-chase.png,001202-iternet-chase.png,iternet,chase
166,166,s41-q968-im53-im151-impicker,968,53,151,151,41,6,True,001202-saunet-chase.png,001202-unet-chase.png,001202-unet-chase.png,unet,chase
167,167,s41-q989-im45-im53-impicker,989,45,53,53,41,6,False,001202-vgan-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
168,168,s41-q982-im45-im111-impicker,982,45,111,45,41,3,False,001202-vgan-chase.png,001202-laddernet-chase.png,001202-vgan-chase.png,vgan,chase
169,169,s41-q986-im37-im53-impicker,986,37,53,53,41,3,False,001202-iternet_uni-chase.png,001202-saunet-chase.png,001202-saunet-chase.png,saunet,chase
170,170,s41-q985-im111-im213-impicker,985,111,213,213,41,3,False,001202-laddernet-chase.png,001202-eswanet-chase.png,001202-eswanet-chase.png,eswanet,chase
