survey_id,question_id,image_id,dataset,filename,type,disease_token
3,110,9,originals,000594.png,original,normal
3,111,29,DRIVE,000594-min-laddernet-drive.png,segmap,normal
3,111,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,111,9,originals,000594.png,original,normal
3,112,22,DRIVE,000594-min-vesselunet-drive.png,segmap,normal
3,112,29,DRIVE,000594-min-laddernet-drive.png,segmap,normal
3,112,9,originals,000594.png,original,normal
3,113,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,113,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,113,9,originals,000594.png,original,normal
3,114,22,DRIVE,000594-min-vesselunet-drive.png,segmap,normal
3,114,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,114,9,originals,000594.png,original,normal
3,115,22,DRIVE,000594-min-vesselunet-drive.png,segmap,normal
3,115,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,115,9,originals,000594.png,original,normal
3,116,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,116,49,DRIVE,000594-min-unet-drive.png,segmap,normal
3,116,9,originals,000594.png,original,normal
3,117,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,117,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,117,9,originals,000594.png,original,normal
3,118,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,118,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,118,9,originals,000594.png,original,normal
3,119,29,DRIVE,000594-min-laddernet-drive.png,segmap,normal
3,119,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,119,9,originals,000594.png,original,normal
3,120,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,120,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,120,9,originals,000594.png,original,normal
3,121,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,121,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,121,9,originals,000594.png,original,normal
3,122,22,DRIVE,000594-min-vesselunet-drive.png,segmap,normal
3,122,37,DRIVE,000594-min-vgan-drive.png,segmap,normal
3,122,9,originals,000594.png,original,normal
3,123,29,DRIVE,000594-min-laddernet-drive.png,segmap,normal
3,123,36,DRIVE,000594-min-saunet-drive.png,segmap,normal
3,123,9,originals,000594.png,original,normal
3,124,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,124,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,124,9,originals,000594.png,original,normal
3,125,52,DRIVE,000594-min-iternet-drive.png,segmap,normal
3,125,56,DRIVE,000594-min-eswanet-drive.png,segmap,normal
3,125,9,originals,000594.png,original,normal
3,126,22,DRIVE,000594-min-vesselunet-drive.png,segmap,normal
3,126,54,DRIVE,000594-min-iternet_uni-drive.png,segmap,normal
3,126,9,originals,000594.png,original,normal
4,127,21,DRIVE,001771-median-vgan-drive.png,segmap,normal
4,127,55,DRIVE,001771-median-iternet-drive.png,segmap,normal
4,127,19,originals,001771.png,original,normal
4,128,43,DRIVE,001771-median-eswanet-drive.png,segmap,normal
4,128,46,DRIVE,001771-median-saunet-drive.png,segmap,normal
4,128,19,originals,001771.png,original,normal
4,129,20,DRIVE,001771-median-iternet_uni-drive.png,segmap,normal
4,129,21,DRIVE,001771-median-vgan-drive.png,segmap,normal
4,129,19,originals,001771.png,original,normal
4,130,27,DRIVE,001771-median-vesselunet-drive.png,segmap,normal
4,130,58,DRIVE,001771-median-unet-drive.png,segmap,normal
4,130,19,originals,001771.png,original,normal
4,131,20,DRIVE,001771-median-iternet_uni-drive.png,segmap,normal
4,131,58,DRIVE,001771-median-unet-drive.png,segmap,normal
4,131,19,originals,001771.png,original,normal
4,132,25,DRIVE,001771-median-laddernet-drive.png,segmap,normal
4,132,55,DRIVE,001771-median-iternet-drive.png,segmap,normal
4,132,19,originals,001771.png,original,normal
4,133,25,DRIVE,001771-median-laddernet-drive.png,segmap,normal
4,133,46,DRIVE,001771-median-saunet-drive.png,segmap,normal
4,133,19,originals,001771.png,original,normal
4,134,27,DRIVE,001771-median-vesselunet-drive.png,segmap,normal
4,134,55,DRIVE,001771-median-iternet-drive.png,segmap,normal
4,134,19,originals,001771.png,original,normal
4,135,46,DRIVE,001771-median-saunet-drive.png,segmap,normal
4,135,58,DRIVE,001771-median-unet-drive.png,segmap,normal
4,135,19,originals,001771.png,original,normal
4,136,46,DRIVE,001771-median-saunet-drive.png,segmap,normal
4,136,55,DRIVE,001771-median-iternet-drive.png,segmap,normal
4,136,19,originals,001771.png,original,normal
4,137,27,DRIVE,001771-median-vesselunet-drive.png,segmap,normal
4,137,46,DRIVE,001771-median-saunet-drive.png,segmap,normal
4,137,19,originals,001771.png,original,normal
4,138,43,DRIVE,001771-median-eswanet-drive.png,segmap,normal
