,img_pair,question,img1,img2,answer,survey,observer,is_redundant,img1_fname,img2_fname,answer_fname,network,dataset
2858,s15-q600-im120-im142-impicker,600,120,142,142,15,1,False,000007-max-laddernet-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2859,s15-q626-im127-im129-impicker,626,127,129,129,15,1,False,000007-max-iternet-chase.png,000007-max-vgan-chase.png,000007-max-vgan-chase.png,vgan,chase
2860,s15-q629-im129-im142-impicker,629,129,142,142,15,1,False,000007-max-vgan-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2861,s15-q615-im136-im141-impicker,615,136,141,141,15,1,False,000007-max-eswanet-chase.png,000007-max-unet-chase.png,000007-max-unet-chase.png,unet,chase
2862,s15-q605-im129-im141-impicker,605,129,141,129,15,1,False,000007-max-vgan-chase.png,000007-max-unet-chase.png,000007-max-vgan-chase.png,vgan,chase
2863,s15-q590-im140-im143-impicker,590,140,143,143,15,1,False,000007-max-iternet_uni-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2864,s15-q593-im140-im141-impicker,593,140,141,141,15,1,False,000007-max-iternet_uni-chase.png,000007-max-unet-chase.png,000007-max-unet-chase.png,unet,chase
2865,s15-q603-im120-im143-impicker,603,120,143,143,15,1,False,000007-max-laddernet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2866,s15-q627-im120-im140-impicker,627,120,140,120,15,1,False,000007-max-laddernet-chase.png,000007-max-iternet_uni-chase.png,000007-max-laddernet-chase.png,laddernet,chase
2867,s15-q597-im120-im127-impicker,597,120,127,120,15,1,False,000007-max-laddernet-chase.png,000007-max-iternet-chase.png,000007-max-laddernet-chase.png,laddernet,chase
2868,s15-q594-im120-im143-impicker,594,120,143,143,15,1,True,000007-max-laddernet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
2869,s15-q610-im129-im141-impicker,610,129,141,129,15,1,True,000007-max-vgan-chase.png,000007-max-unet-chase.png,000007-max-vgan-chase.png,vgan,chase
2870,s15-q607-im120-im136-impicker,607,120,136,136,15,1,False,000007-max-laddernet-chase.png,000007-max-eswanet-chase.png,000007-max-eswanet-chase.png,eswanet,chase
2871,s15-q619-im142-im143-impicker,619,142,143,142,15,1,False,000007-max-vesselunet-chase.png,000007-max-saunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2872,s15-q598-im141-im142-impicker,598,141,142,142,15,1,False,000007-max-unet-chase.png,000007-max-vesselunet-chase.png,000007-max-vesselunet-chase.png,vesselunet,chase
2873,s15-q622-im141-im143-impicker,622,141,143,143,15,1,False,000007-max-unet-chase.png,000007-max-saunet-chase.png,000007-max-saunet-chase.png,saunet,chase
